Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
21	659	1756	446	0.6767830045523521	6.0698027314112295	-333.5463	7702.546	20253.4	-189596.3	6.0698028	-26.875614	19.378225	6.7803454	-95.46088	88000.0	7.4495095e-09	12736.98	-0.006657435	-961.8887	0.32320952	0.009934198	0.10866753	79.0	99.17735195159912
22	952	2531	636	0.6680672268907563	4.201680672268908	-497.70956	7795.973	525.6	-160410.8	4.2016807	-35.258266	31.379568	14.538165	-131.54071	92000.0	8.664206e-09	8236.666	-0.0036096463	-254.5708	0.3247741	0.0020828815	0.06451213	79.0	104.75530099868774
23	885	2364	608	0.6870056497175141	4.519774011299435	-224.26831	4977.728	12324.8	-138681.6	4.5237556	-26.384956	21.24688	12.322123	-112.48165	96000.0	1.0491676e-05	5185.066	-0.0039476384	-261.36035	0.31297618	0.0025994596	0.028964985	79.0	109.74502992630005
24	897	2466	677	0.7547380156075808	4.459308807134894	-608.07697	15859.753	6138.1	-472667.8	4.4587054	-23.294157	22.845745	14.127385	-126.653534	100000.0	-1.646652e-09	23149.756	-0.0018381375	-468.82812	0.3007439	0.001828164	0.04884547	79.0	114.76754307746887
25	875	2433	692	0.7908571428571428	4.571428571428571	-144.34325	2584.621	4194.3	-66641.6	4.5732265	-18.134378	17.884535	13.211054	-153.28036	104000.0	-1.3041844e-08	2137.4683	-0.006244685	-42.698975	0.3109535	0.0051689646	0.09392547	79.0	120.11510801315308
26	987	2777	816	0.8267477203647416	4.052684903748734	-29.223026	794.45526	2385.6	-19474.7	4.0476675	-13.5395975	16.078375	9.6249695	-156.53636	108000.0	1.1340354e-08	1140.3418	-0.0074992804	-9.312256	0.29012483	0.013733697	0.15902475	79.0	125.92942309379578
27	938	2693	821	0.8752665245202559	4.264392324093817	99.71066	1555.7041	40120.7	-710.4	4.267876	-17.223867	24.30044	10.158373	-156.95363	112000.0	2.159172e-05	15640.423	-0.0057877344	-648.3174	0.25086114	0.00522079	0.05158831	79.0	130.80888199806213
28	929	2713	875	0.9418729817007535	4.3057050592034445	-775.0106	16368.378	3163.6	-456716.4	4.305705	-17.56556	26.0868	9.542665	-174.17856	116000.0	-5.53276e-09	10393.899	-0.0042510047	-235.8711	0.24711648	0.0019849038	0.03230337	79.0	136.53849601745605
29	1109	3250	1039	0.9368800721370604	3.606853020739405	-116.47825	4036.7136	2022.9	-134281.8	3.606853	-13.645245	25.153189	13.750039	-185.3616	120000.0	1.1215368e-09	1567.9773	-0.005845611	-35.93274	0.24412197	0.0069527444	0.06501223	79.0	142.08993411064148
30	1242	3690	1208	0.9726247987117552	3.2206119162640903	-170.08742	7029.4653	21189.1	-246890.1	3.2206118	-10.487844	27.979168	7.299857	-189.0781	124000.0	-1.8973811e-08	10255.26	-0.0056321737	-118.38867	0.20540062	0.0028628716	0.030860797	79.0	147.8957371711731
31	1399	4152	1364	0.9749821300929236	2.8591851322373123	8.567744	475.05994	11456.7	-12174.4	2.8340487	-6.5262136	16.154655	7.3393593	-202.6741	128000.0	2.4111133e-08	877.7226	-0.006118703	-201.456	0.17468952	0.008288295	0.15138328	79.0	154.1765239238739
32	1573	4677	1542	0.9802924348378894	2.542911633820725	12.068467	410.34555	16003.4	-2525.4	2.5429115	-7.6134033	23.862623	9.142557	-190.02563	132000.0	5.5606524e-09	953.10284	-0.0044980375	-44.892456	0.1419196	0.0024739625	0.008536231	79.0	161.34664607048035
33	1574	4677	1547	0.9828462515883101	2.5412960609911055	11.599809	735.9808	23588.6	-10067.9	2.541296	-9.450986	32.011898	7.877939	-205.95966	136000.0	1.8457506e-08	2656.3403	-0.0031510636	-42.422363	0.114796765	0.0008906249	0.036397167	79.0	167.9995620250702
