Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
22	166	237	24	0.14457831325301204	22.674698795180724	109.687355	87.18468	255.1	-721.4	21.674698	-17.469774	36.516346	29.035618	-152.55856	138000.0	-3.5941006e-09	30245.502	-0.0012521287	-939.66016	0.32255104	0.0008874826	0.014451827	79.0	88.55430006980896
23	181	249	29	0.16022099447513813	21.403314917127073	100.96133	97.70301	325.1	-673.7	20.403315	-5.4894238	19.821056	26.935678	-82.02585	144000.0	1.153393e-08	57759.7	-0.002518117	-2607.4375	0.35417217	0.005769951	0.056616195	79.0	92.89794993400574
24	224	326	47	0.20982142857142858	16.727678571428573	95.69822	51.80703	276.2	2.6	15.727678	-22.996191	35.171246	23.050695	-160.40369	150000.0	-4.8830945e-08	1049.3092	-0.006800464	-183.89093	0.41956607	0.002073857	0.043083526	79.0	96.94906878471375
25	175	247	34	0.19428571428571428	21.982857142857142	108.94	89.32035	278.8	-823.8	20.982857	-15.279003	32.20535	22.65476	-148.5029	156000.0	1.2938401e-08	30092.97	-0.00085173175	-833.16406	0.35762182	0.0015211437	0.022727273	79.0	101.27751994132996
26	191	268	44	0.23036649214659685	19.994764397905758	111.24137	60.646526	285.7	-3.2	18.994764	-5.7175364	14.475821	28.90131	-31.108162	162000.0	-6.3935836e-08	381.00134	-0.017751021	-71.29947	0.3768223	0.015914243	0.094042346	18.0	105.14759111404419
27	103	147	17	0.1650485436893204	36.74757281553398	125.0	190.06667	321.1	-987.3	35.747574	0.051197555	11.402167	24.687756	-27.932018	168000.0	-4.56836e-09	87142.38	-0.0012985959	-3414.9453	0.23628756	0.002975492	0.04155034	79.0	109.47170686721802
28	144	166	17	0.11805555555555555	25.92361111111111	125.27848	91.711235	317.5	-719.0	24.92361	-23.921692	36.398674	12.892985	-161.22794	174000.0	2.692268e-09	28952.646	-0.0021586062	-535.4082	0.28498754	0.001954493	0.027796162	79.0	113.67051982879639
29	156	216	41	0.26282051282051283	24.75	112.74166	109.57123	265.4	-696.5	23.75	-22.783674	37.024582	7.9463825	-154.48854	180000.0	8.815851e-09	58418.348	-0.0025552055	-662.6953	0.29783857	0.0043720636	0.061244488	79.0	118.27290391921997
30	208	301	52	0.25	18.610576923076923	101.71923	58.474285	311.0	8.0	17.610577	-25.997578	33.517075	2.881288	-143.33777	186000.0	-6.946956e-08	1146.7527	-0.004728432	-513.4266	0.37973204	0.0023379293	0.033167496	79.0	122.62514996528625
31	184	300	65	0.3532608695652174	20.79891304347826	104.77065	97.60557	299.6	-953.4	19.798914	-8.923971	17.4505	3.6452804	-102.18085	192000.0	8.598443e-09	29473.176	-0.012634738	-1818.6953	0.3307561	0.01179201	0.07146419	79.0	127.15131711959839
32	178	212	37	0.20786516853932585	21.308988764044944	111.402245	86.05014	279.0	-714.8	20.308989	-3.9263983	8.314598	12.489174	-111.50928	198000.0	-9.654895e-09	29217.207	-0.0015381882	-908.78906	0.3288438	0.005401358	0.063609466	79.0	131.59889197349548
