Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
18	1327	1914	637	0.4800301431801055	2.016578749058026	1.7302184	4.100622	3.3	-9.2	1.0165788	1.8346989	0.8121926	3.2672617	0.16344519	76000.0	4.101728e-08	1.6150616	-0.00034422448	-0.0038115978	0.037263326	0.00017775234	0.0004996253	79.0	47.94870114326477
19	1327	1887	628	0.47324792765636775	2.016578749058026	1.7209495	4.1109514	3.3	-9.2	1.0165788	1.6900449	0.87270695	3.2813158	0.07705754	80000.0	-6.012579e-08	1.6247259	-0.00030124444	-3.2663345e-05	0.03093662	0.0004177533	0.0004996253	79.0	50.45662808418274
20	1328	2042	680	0.5120481927710844	2.0150602409638556	1.796536	4.024855	3.3	-9.2	1.0150602	1.7714934	0.881702	3.2773833	0.084728375	84000.0	-2.3282134e-08	1.5429637	-0.00017278559	-1.4901161e-05	0.025538597	4.7062542e-05	0.00024975024	79.0	53.048089027404785
21	1329	2037	679	0.510910458991723	2.0120391271632805	1.8352143	3.9810474	3.3	-9.2	1.0120392	1.7742747	0.869438	3.2828465	0.08974204	88000.0	-3.5279164e-08	1.5194016	-3.1770047e-05	-0.00032436848	0.024771092	0.000100293044	0.0	79.0	55.55885887145996
22	1330	1925	641	0.48195488721804514	2.0097744360902254	1.5223306	4.3234096	3.3	-9.2	1.0097744	1.775852	0.8811235	3.2980485	0.11510805	92000.0	1.1673755e-08	1.764089	-0.0003398579	-0.015078068	0.02207111	0.00015107662	0.0022483137	79.0	58.10814094543457
23	1334	1965	655	0.4910044977511244	2.002248875562219	1.7044226	4.132105	3.3	-9.0	1.0022489	1.5437794	1.0106622	3.2794454	-0.16917834	96000.0	-3.774217e-08	1.6213996	-5.4050386e-05	-0.004949689	0.018238686	0.000389653	0.0007490637	79.0	60.777312994003296
24	1331	2018	672	0.5048835462058603	2.0082644628099175	1.8752066	3.9342875	3.3	-9.2	1.0082644	1.7292386	0.9147804	3.3021502	0.042587094	100000.0	7.334468e-08	1.498256	-0.00023610014	-0.0049790144	0.02143681	6.196287e-05	0.00024975024	79.0	63.40183901786804
25	1331	1984	661	0.4966190833959429	2.0082644628099175	1.6534183	4.186337	3.3	-9.2	1.0082644	1.8265325	0.82872504	3.2807984	0.14312325	104000.0	2.2329412e-09	1.6632267	-0.00011735974	-0.0077444315	0.017700689	9.857882e-05	0.00024975024	79.0	66.66763806343079
26	1331	2046	682	0.512396694214876	2.0075131480090156	1.893839	3.9129782	3.3	-9.2	1.0075132	1.6805202	0.91126287	3.2908382	0.021204973	108000.0	5.522978e-08	1.4913648	-0.00024865073	-0.008458018	0.015925104	0.00013276287	0.0	79.0	69.34219312667847
27	1332	2020	673	0.5052552552552553	2.0067567567567566	1.7934684	4.030886	3.3	-9.2	1.0067568	1.8756602	0.8227287	3.2989407	0.15048838	112000.0	5.706531e-09	1.5540754	-0.00019587022	-0.0017083883	0.013285153	0.00020987562	0.0012484394	79.0	72.10409903526306
28	1332	2046	682	0.512012012012012	2.005255255255255	1.8399398	3.9767132	3.3	-9.0	1.0052552	1.8263974	0.8985292	3.2916636	0.092767924	116000.0	1.9987795e-08	1.5031375	-9.892481e-05	-1.0251999e-05	0.010921873	-4.592777e-05	0.0	79.0	74.75030398368835
29	1333	1941	647	0.48537134283570893	2.0045011252813203	1.6658661	4.1739964	3.3	-9.2	1.0045011	1.7719104	0.88776773	3.2986197	0.09654278	120000.0	-6.6822685e-09	1.6490821	-3.3547516e-05	-0.0027903318	0.012684446	9.630801e-07	0.0	79.0	77.38967490196228
